001 Omelette;Mit Käse oder mit Putenschinken oder Rindergeräuchertes (Rindfleisch);7,90 €
002 Spiegeleier;Mit Putenschinken dazu Brot;7,90 €
003 Brotzeitteller;Käse, Schinken (Pute oder geräuchertem Rinderfleisch), Butter, gekochtes Ei und Brot;12,90 €


005 Klare Rinderkraftbrühe;mit hausgemachten Leberspätzle;5,50 €
006 Pfannkuchensuppe;mit frischen Pfannkuchenstreifen;5,50 €
007 Tomatensuppe; ;5,50 €
008 Kalbseintopf;Kalbsfleisch mit Gemüse;7,90 €

011 Schinken - Rind;Govedje suho meso - 100 gr.;8,90 €
013 Rinderrohwurst;Domaci govedij kulen - 100 gr.;6,90 €
014 Sudzuk;Domaci govedij sudzuk - 100 gr.
015 Hartkäse;Domaci govedij sudzuk - 100 gr.

PIZZA
201 Pizzabrot;mit Knoblauch;6,90 €
202 PIZZA MARGHERITA;mit Tomaten, Käse, Oregano;8,90 €
203 PIZZA CAPRICCIOSA;mit Putenschinken, Oliven, Champignons, Käse, Oregano ;9,90 €
204 PIZZA FUNGHI;mit Tomaten, Käse, Champignons;9,90 €
205 PIZZA VEGETARIA-HAUSGEMACHT;mit Champignons, Paprika, Tomaten, Mais, Rucola, Käse;11,90 €
206 PIZZA MOZZARELLA;mit frischen Tomaten, Oliven, Mozzarella, Käse, Oregano ;11,90 €
206 PIZZA SALAMI;mit Tomaten, Käse, Rindersalami, Oregano;11,90
207 PIZZA THUNFISCH;mit Thunfisch, roten Zwiebeln, Käse ;11,90 €
208 PIZZA ADRIA;mit Meeresfrüchten, Oliven, Käse, Oregano;12,90 €
210 PIZZA BOSANAC;mit Käse und geräuchertem Rindfleisch ;14,90 €
211 PIZZA SLAVONSKA;mit Tomaten, Salami, geräuchertem Rindfleisch, Peperoni, Käse;14,90 €
212 PIZZA MOOSACHER PARADIES;mit gegriltem Baby Calamari;16,90 €
213 SARAJEVSKA LEPINJA/ Somun - Fladenbrot, hausgemacht im Holzofen ;2,50 €

